Altium Designer Pick and Place Locations
D:\PCB_DOC\[Elec2PCB] PCB2 - 03 Tài li?u d?c Khoá NEW Advanced PCB - Send to Student\ESP32 P4 M3\Project Outputs for ESP32_P4_M3\Pick Place for ESP32_P4_M3.csv

========================================================================================================================
File Design Information:

Date:       27/11/25
Time:       17:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C80","10uF","TopLayer","C0603","2931.104","2482.285","180","25V 10uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C66","100nF","TopLayer","C0603","2811.028","2482.284","0","50V 100nF X7R ±10% 0603 Ceramic Capacitors ROHS"
"Hole3","Pad Big","TopLayer","Screw_3.0","190.000","150.000","0","Pad Big"
"Hole2","Pad Big","TopLayer","Screw_3.0","5480.000","190.000","0","Pad Big"
"Hole1","Pad Big","TopLayer","Screw_3.0","5480.000","4310.000","0","Pad Big"
"D16","SMA(DO-214AC)","TopLayer","SMA_L4.4-W2.6-LS5.0-RD","2908.312","3572.819","180","80A 40V 500mV@3A 3A SMA(DO-214AC) Single Diodes ROHS"
"BT1","BATTERY CLIP COIN CR2032 SMD","TopLayer","BATTERY","3044.338","3406.142","0","Battery Clip CR2032 SMD Blade Type Power Connector Assemblies RoHS"
"LED5","XL-1608SURC-06","TopLayer","LED0603-RD_RED","2521.843","3107.683","180","20mA 2.3V Red 50mW 0603 LED Indication - Discrete ROHS"
"LED8","XL-1608SURC-06","TopLayer","LED0603-RD_RED","1551.952","3079.790","0","20mA 2.3V Red 50mW 0603 LED Indication - Discrete ROHS"
"LED7","XL-1608SURC-06","TopLayer","LED0603-RD_RED","909.213","3080.660","0","20mA 2.3V Red 50mW 0603 LED Indication - Discrete ROHS"
"LED6","XL-1608SURC-06","TopLayer","LED0603-RD_RED","243.540","3079.165","0","20mA 2.3V Red 50mW 0603 LED Indication - Discrete ROHS"
"C79","100uF","TopLayer","CAP-SMD_L3.5-W2.8-R-RD","4205.964","3750.282","0","100uF 10V ±10% CASE-B-3528-19(mm) Tantalum Capacitors RoHS"
"U2","ESP32P4_QFN104","TopLayer","JC-ESP32P4-M3_V0.2","4040.179","2683.731","270",""
"C78","100uF","TopLayer","CAP-SMD_L3.5-W2.8-R-RD","1317.850","686.074","0","100uF 10V ±10% CASE-B-3528-19(mm) Tantalum Capacitors RoHS"
"C77","100uF","TopLayer","CAP-SMD_L3.5-W2.8-R-RD","1618.921","528.046","270","100uF 10V ±10% CASE-B-3528-19(mm) Tantalum Capacitors RoHS"
"LED4","XL-1608SURC-06","TopLayer","LED0603-RD_RED","1478.605","574.857","270","20mA 2.3V Red 50mW 0603 LED Indication - Discrete ROHS"
"LED1","XL-1608SURC-06","TopLayer","LED0603-RD_RED","347.014","746.980","0","20mA 2.3V Red 50mW 0603 LED Indication - Discrete ROHS"
"R115","24.9kO","TopLayer","R0603","887.699","193.198","90","1100mW 24.9kO 75V ±100ppm/? Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount ROHS"
"L2","15uH","TopLayer","IND-SMD_L10.1-W10.0","1165.356","2267.720","270","3.4A 15uH Magnetic Shielded Inductor ±20% 41mO SMD,10.1x10.1mm Fixed Inductors ROHS"
"LED3","RED","TopLayer","LED0603-RD_RED","1135.612","1297.105","270","20mA 2.3V Red 50mW 0603 LED Indication - Discrete ROHS"
"LED2","Green","TopLayer","LED0603-RD_RED","1262.165","1297.105","270","5mA 500mcd 526nm~532nm Green 70mW 2.8V 0603 LED Indication - Discrete ROHS"
"R7","91mO","TopLayer","R1206","1163.386","1866.142","270","250mW 91mO 500V ±600ppm/? Thick Film Resistor ±1% 1206 Chip Resistor - Surface Mount ROHS"
"C76","10uF","TopLayer","C0603","1033.999","1594.780","270","25V 10uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"USB3","TYPE C 2.0","TopLayer","USB-C-SMD_G-SWITCH_GT-USB-7010ASV","2288.208","266.263","0","USB 2.0 1 16P -40?~+85? Type-C SMD USB, DVI, HDMI Connector Assemblies RoHS"
"USB2","TYPE C 2.0","TopLayer","USB-C-SMD_G-SWITCH_GT-USB-7010ASV","3248.256","267.846","0","USB 2.0 1 16P -40?~+85? Type-C SMD USB, DVI, HDMI Connector Assemblies RoHS"
"USB1","TYPE C 2.0","TopLayer","USB-C-SMD_G-SWITCH_GT-USB-7010ASV","2781.646","263.946","0","USB 2.0 1 16P -40?~+85? Type-C SMD USB, DVI, HDMI Connector Assemblies RoHS"
"U1","TLV62569DBVR","TopLayer","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","1373.974","408.908","180","1.5MHz 2A Buck Adjustable 600mV~5.5V 1 SOT-23-5 Voltage Regulators - DC DC Switching Regulators RoHS"
"TF1","CONN MICRO SD CARD (TF CARD) SMD","TopLayer","TF-SMD_SH_SH-TF-01A","5074.352","1606.560","90","-25?~+85? Push-Push 2mm Connector and Ejector MicroSD Card (TF Card) SMD PC Card Sockets RoHS"
"SW2","B3U-1000P","TopLayer","KEY-SMD_B3U-1000PM","2814.638","4148.929","180","12V 2.5mm Round Button 3mm SPST 50mA SMD,3x2.5mm Tactile Switches ROHS"
"SW1","B3U-1000P","TopLayer","KEY-SMD_B3U-1000PM","3095.748","4151.159","180","12V 2.5mm Round Button 3mm SPST 50mA SMD,3x2.5mm Tactile Switches ROHS"
"RL3","Relay 15A/5V","TopLayer","RL-5V-15A","1722.628","3528.649","90","Relay SPDT,10A - 5VDC 5 Pin"
"RL2","Relay 15A/5V","TopLayer","RL-5V-15A","1079.868","3528.649","90","Relay SPDT,10A - 5VDC 5 Pin"
"RL1","Relay 15A/5V","TopLayer","RL-5V-15A","437.483","3528.649","90","Relay SPDT,10A - 5VDC 5 Pin"
"RJ1","CONN MOD JACK RJ45 TH","TopLayer","RJ45-TH_HR913550A","3972.255","589.927","180","1 With LED Through Hole Modular/Ethernet Connector Jacks With Magnetics RoHS"
"R109","10kO","TopLayer","R0603","1978.326","2918.445","90","100mW 10kO 75V ±100ppm/? Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount ROHS"
"R108","220O","TopLayer","R0603","1442.462","2918.445","90","100mW 220O 75V ±100ppm/? Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount RoHS"
"R106","1kO","TopLayer","R0603","1550.000","3140.000","180","100mW 1kO 50V ±100ppm/? Thick Film Resistor ±5% 0603 Chip Resistor - Surface Mount ROHS"
"R105","10kO","TopLayer","R0603","1337.916","2918.445","90","100mW 10kO 75V ±100ppm/? Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount ROHS"
"R104","220O","TopLayer","R0603","814.234","2918.445","90","100mW 220O 75V ±100ppm/? Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount RoHS"
"R103","10kO","TopLayer","R0603","692.186","2918.445","90","100mW 10kO 75V ±100ppm/? Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount ROHS"
